artista,biografia,listeners,playcount,similares
La Fuga,"La Fuga son Pedro (voz y guitarra), Nando (guitarra) y Edu (batería): un grupo de Reinosa (Cantabria) con más de 500 conciertos a sus espaldas en una decena de giras, 8 discos publicados hasta la fecha, y una historia de constancia y rock and roll. Una banda cuyo esfuerzo ha situado en lo más alto del panorama de la música estatal, y cuyo comienzo se remonta a hace casi 15 años.

En el verano de 1996, más que el sofocante calor del olvidado sur de Cantabria, es la rutina como desolador panorama lo que provoca que cuatro músicos confluyan sus inquietudes en La Fuga. Rulo (voz y guitarra), Iñaky (bajo), Edu (batería) y Fito (guitarra), que ya habían buscado anteriormente una vía de escape por separado en la música, empiezan juntos a dar conciertos con versiones de grupos de rock nacionales.

Reinosa, conocida por su lucha obrera y sus inviernos, a cual más combativo, forjó desde el principio el carácter especial de una banda curtida con el corazón y los instintos. Simplemente confiando en sí mismos, La Fuga, que por encima de todo sostenían la validez del directo en el rock, grabaron su primera maqueta “El Camino” (1997), como un pretexto para seguir presentándose ante el público. En el primer álbum se rescatarían cuatro temas de aquella primera maqueta y años después llegarían a ser seis por insistencia de sus seguidores. 

El disco “Mira” (1998) grabado en los estudios Sonido XXI de Esparza de Galar y editado por FAK Records sería la verdadera grabación de debut. Incluía temas que alcanzaron la categoría de himnos como Primavera del 87, Por verte sonreír o Al pie del cañón. “Mira” supuso, además de la primera gira de presentación más allá de los límites de Cantabria, la llegada de un nuevo guitarrista, Nando, y el abandono temporal de Fito, que regresaría a finales de año a partir de un concierto benéfico recogido en la grabación “Un juguete por Navidad”. Un año después, a las puertas de su segundo trabajo discográfico, Iñaki dejaría el grupo por discrepancias con el resto.

Como ni la ansiada compañía que apoyase su siguiente grabación ni el bajista adecuado llegaban, el grupo, sin abandonar ni la carretera, ni el local, ni su férrea opción de vivir por y para la música, toma en pocos meses una doble decisión que marcaría su carrera: ajustarse como cuarteto pasando Rulo a ocuparse del bajo, y autoproducirse su segundo disco “A golpes de rock and roll” (2000).

Si el marco característico de La Fuga eran en ese momento sus letras, una nutrida colección amores, desencuentros y noches compartidas, como P’aquí p’allá, Hasta nunca, Pedazo de morón o Los de siempre, la auténtica marca distintiva empieza a ser un estallido de directo potente, siempre en comunión con el público. Ese sonido y esa complicidad animarían a Javi y Juanan San Martín –propietarios de Sonido XXI donde el grupo había grabado todo su material– a apostar por La Fuga para su sello discográfico, EDG Music, con quien sacarían su siguiente disco.

“A las doce” (2001) consolidaría la madurez de la  banda, brindaría varias melodías donde toda su generación y las posteriores pudieran vociferar sus desvelos y poner banda sonora a sus noches (Pa volar, Conversación habitación, Majareta, una nueva versión de P’aquí p’allá) y subiría a los de Reinosa a los escenarios más importantes del país. No conseguirlo hubiera sido injusto para quienes, desde arriba y desde abajo de las tablas de una escena del llamado rock estatal que a finales de los 90 parecía agotada, confiaban en escuchar algo nuevo.

Al finalizar la gira de “A las doce”, DRO East West había olido el rastro de éxito que habían dejado los cántabros y tenían ganas de completar la embestida de rock en español que lanzaban desde su sello tras los recientes fichajes de otros grupos estandarte del panorama estatal; el ariete definitivo sería La Fuga con su nuevo álbum, “Calles de papel” (2003). La tempestuosa voz de Rulo en el escenario, el dominio de Nando de la guitarra, la presencia de Fito y la solidez rítmica de Edu, habían ensamblado una maquinaria casi perfecta que engrasada con el sudor del trabajo recorrería la península y las islas en una gira de presentación con más de 80 conciertos en los que convertían el rock and roll en un arte engañosamente sencillo ajeno a las modas musicales pasajeras. El objetivo no era sorprender a sus seguidores, sino conectar con ellos, y La Fuga lo conseguía.

Después de la gira más extensa del grupo hasta la fecha, llegaría el quinto trabajo de estudio. “Negociando gasolina” (2005), fue el disco con el que las cifras de venta confirmaron el estatus de La Fuga en primera línea del rock estatal. La buena acogida y la intensa gira sentaron las bases de una particular relación con el gran público, fuera incluso de los festivales y medios especializados. Buscando en la basura, Amor de contenedor o Heroína (versión de Los Calis) se convertirían a partir de entonces en temas imprescindibles en el repertorio. Todo el trabajo había valido la pena; los cuatro destilaban la ejecución exacta de sus roles, y su combinación escénica generaba una energía casi imbatible.

Los 10 años de la banda se celebraron con un doble regalo para los seguidores del grupo, ideado inicialmente en conjunto pero editado por separado: “En directo” (2006), un disco grabado en la sala Aqualung (Madrid) para quienes venían reclamando una grabación acompañada de público que evidenciase con toda su fuerza el escenario como entorno natural de La Fuga; y “Nubes y claros” (2006), un experimento acústico, un proyecto intimista, poco convencional y melódico, que presentaron en una pequeña gira por teatros. Ambos discos definieron las dos caras de la carrera de una propuesta que convencía y emocionaba con la misma facilidad. Cerrarían el año 2007 con la primera gira por Latinoamérica, visitando Argentina, Uruguay y Chile.

Tras casi tres años sin presentar material inédito, “Asuntos pendientes” (2008) salda la deuda contraída con quienes esperaban nuevos temas de los reinosanos. En la misma línea que sus anteriores trabajos, el desamor y el amor de Jaleo y Los molinos, la melancolía de No sólo respirar y Malos pensamientos, o la denuncia social (desde el otro lado del charco en el caso de Villa Miseria) vuelven a centrar 11 nuevas canciones que serían la excusa para girar durante varios meses por España y Sudamérica.

En octubre de 2009 se anuncia el abandono de Rulo –que emprende su carrera en solitario– y la intención del resto de la banda de continuar adelante. Tras un invierno de búsqueda y trabajo, en el que Fito decidió desvincularse temporalmente de la música, en 2010 La Fuga presenta a Pedro (ex-Mr. Fylyn) como nuevo vocalista. Una gira de dos meses en septiembre y octubre presentará la nueva formación y dará paso a la grabación de un disco que verá la luz a principios de 2011 y del que ya puede escucharse Opciones como adelanto.


Discografía

    * Mira (1998)
    * A golpes de Rock and Roll (2000)
    * A las doce (2001)
    * Calles de papel (2003)
    * Negociando gasolina (2005)
    * La Fuga en directo (Sala Aqualung de Madrid) (2006)
    * Nubes y claros (Acústico) (2006)
    * Asuntos pendientes (2008)

Maquetas

    * El camino (1997)
    * Un juguete por navidad (Edición limitada) (1999)

http://www.lafuga.net/ Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",82692,2804350,"Marea, Platero y tú, Rosendo, Los De Marras, Fito Y Fitipaldis"
Fito y fitipaldis,"Adolfo Cabrales Mato, ""Fito"" (6 de octubre de 1966 en Bilbao, España) decidió fundar un grupo paralelo en 1998 con la intención de publicar temas un tanto alejados del patrón del rock and roll habitual de su anterior banda Platero y Tú, mucho más dura. Se trataba de dar salida a historias personales pasando por el blues, el rock, el soul e incluso el swing.
Dicho proyecto arrancó ese mismo año con la publicación de A puerta cerrada, un disco principalmente acústico con un sonido muy sencillo y cercano. Este álbum debut incluía una versión de Enrique Urquijo, Quiero beber hasta perder el control. También hubo un tema, Trozos de cristal, en el que colaboró Robe Iniesta, de Extremoduro. Rojitas las orejas, fue más tarde grabado por otro proyecto en el que Fito participó, Extrechinato y Tú; aunque esta vez con un sonido más rockero, uniendo los versos de Manolo Chinato a la letra del tema de Fito sobre una base musical más potente.
En 2001 llegó Los sueños locos, que seguía el patrón de su predecesor, con diez canciones en las que se mezclan estilos muy diferentes: soul, blues, swing, flamenco, tex-mex y guitarras hawaianas. Esta nueva entrega incluía un clásico del rock en español: Mientras tanto, canción de los venerados Leño grabada para esta ocasión por Rosendo. También aquí vuelve a aparecer la voz de Robe Iniesta en Ni negro ni blanco, sin duda la canción más rocanrolera del disco. El primer single era A la luna se le ve el ombligo.
El tercer disco de estudio, Lo más lejos, a tu lado se grabó en el estudio de Iñaki ""Uoho"" Antón, su ex-colega de Platero, vio la luz en 2003 y quizá fue el que les catapultó definitivamente a la fama. Incluía doce temas y el primer single, La casa por el tejado, se convirtió en todo un éxito. También destacaban títulos como Un buen castigo, Feo o Whisky barato, más la versión de un viejo tema de Los Rebeldes, Quiero ser una estrella.
Vivo... para contarlo es el primer álbum en vivo de la banda, en un concierto celebrado el 19 de agosto en Bilbao ante 100.000 personas durante su última gira y suponiendo, así, el cuarto disco del grupo en 2004. Salió al mercado en CD y DVD en tres formatos distintos con el documental ""Sueños locos (así se hizo)"", todos sus videoclips y galería de fotos.
Por la boca vive el pez, grabado en los estudios Music Lan (Girona) y producido por Joe Blaney, llegó a las tiendas en septiembre de 2006. Se incluye una versión de Deltoya, tema de Extremoduro, en clave de rock & roll, suponiendo una versión muy distinta a la original. Un año más tarde se edita como celebración una caja para coleccionistas que atesora el CD con los temas extra La negra flor y Callejón sin salida, DVD con los videoclips de este álbum y un documental sobre la grabación del disco y dos libretos con letras y partituras de guitarra. En 2008 fue certificado cuádruple platino por más de 320.000 copias.
2 son multitud, producido por Andrés Calamaro y Fito & Fitipaldis en 2008. Está plasmado en CD y 2 DVDs del primer recital en Getafe, basado en una gira de junio de 2008 (Getafe el 7, Benidorm el 14, Santiago de Compostela el 21 y Barcelona el 28). El escenario montado mide 20 metros de largo y 14 metros de ancho. Posee en cada lateral dos gigantografías de los músicos, y tres pantallas gigantes que van pasando el recital en vivo, dos a los lados y una grande de forma rectangular arriba en el fondo del escenario.
Antes de que cuente diez es el quinto álbum de estudio del grupo, grabado en los estudios Du Manoir (sur de Francia) y producido nuevamente por Joe Blaney. Su lanzamiento está previsto para el día 15 de septiembre de 2009. Se incluye una versión de Todo a cien, tema de La Cabra Mecánica.
Formación actual:
Adolfo Cabrales Mato, 'Fito': Voz principal, guitarra eléctrica y acústica.
Carlos Raya: Guitarra eléctrica, slide y pedal steel y coros.
Javier Alzola: Saxofón.
José Bruno, 'El Niño': Batería.
Candy Caramelo: Bajo y coros.
Joserra Semperena: Hammond y piano. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",126372,3780711,"El Canto del Loco, Extremoduro, Marea, La Fuga, Platero y tú"
Billie Eilish,"Billie Eilish Pirate Baird O'Connell​ (Los Ángeles, California; 18 de diciembre de 2001​) conocida solo como Billie Eilish, es una cantante y compositora estadounidense. Su primer sencillo, «Ocean Eyes», producido por su hermano, y ella ha acumulado más de 1 millón de streams en YouTube desde febrero de 2018. Su primer EP, «Don't Smile at Me» fue lanzado en agosto de 2017. Tras el éxito del EP, un mes después, en octubre de 2017, Apple nombró a Eilish como su más reciente artista UPNEXT de Apple Music. Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",4248142,841110926,"FINNEAS, Olivia Rodrigo, Melanie Martinez, Lana Del Rey, Ariana Grande"
Love of Lesbian,"Love of Lesbian es un grupo de pop independiente español radicado en Barcelona que está en activo desde 1998. Después de tres discos en inglés, decidieron cantar en castellano, lengua en la cual han sacado sus últimos tres discos. Un momento importante para su proyección como grupo fue la actuación como teloneros de The Cure durante el Dream Tour 2000. 

Son uno de los grupos más apreciados por la crítica de la escena indie española, sobre todo a partir de la publicación de Maniobras de escapismo en 2005. En 2007 han sacado otro disco, Cuentos Chinos para Niños del Japón, en la línea de su anterior disco.
Éste último ha sido elegido mejor disco del año por la publicación musical Mondosonoro.

A finales de marzo de 2009 publicaron un nuevo álbum, ""1999 (o cómo generar incendios de nieve con una lupa enfocando la luna)"", disco que en su primera semana a la venta entró al número 33 de la lista oficial de ventas en España (lista Promusicae).

En mayo de 2012 sacaron ""La noche eterna. Los días no vividos"". Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",176699,11454248,"Lori Meyers, Izal, Viva Suecia, Vetusta Morla, Iván Ferreiro"
Estopa,"Estopa es un grupo de pop/rumba/flamenco fundado en 1999 por los hermanos José Muñoz y David Muñoz que son naturales del barrio de San Ildefonso del municipio de Cornellá de Llobregat, Barcelona.

Su último trabajo oficial fue en la producción de piezas para automóviles en una de las filiales de SEAT, Novel Lahnwerk, donde se gestaron algunas de las letras de las canciones del conjunto,de ahí que su primer éxito ""La raja de tu falda"" nombrase un modelo de SEAT (Seat Panda). De esta fábrica sale el nombre del grupo ""Estopa"", debido a que su encargado les repetía la frase: Dale estopa!, para que rindieran más con el fin de mejorar su productividad y no se distrajeran.

Discografía:
-------------
Estopa (1999-2000)

Su álbum salió a la calle el 19 de octubre de 1999. El sencillo ""Suma y sigue"" que tuvo mucha repercusión y empezó a sonar en todas las emisoras de radio, pero sería tres meses mas tarde con el sencillo ""La raja de tu falda"" el que les llevara a la fama.
 Iniciaron la Gira Ducados 2000' que los llevó por toda España y gran parte de Latino américa. Lograron vender 1.000.000 discos.

Destrangis (2001-2003)

Con su segundo álbum ""Destrangis"" consiguieron unas ventas de 800.000 ejemplares. Su primer single fue ""Partiendo la pana"", tema que sonó bastante. 
Tras el éxito del disco decidieron reeditarlo al año siguiente con el título de ""Más Destrangis"", incluyendo 3 temas nuevos y un DVD con varios videoclips y conciertos de su gira de 2002, aún así, vendieron 200.000 copias más.

¿La calle es tuya? (2004)

Su tercer álbum ve la luz el 3 de marzo de 2004, y  vende 300.000 copias la primera semana.
La gira, llamada ""Muñoz vs. Muñoz"", les llevaría por todas las provincias españolas, con cerca de 60 conciertos, de nuevo llenando grandes recintos como ""Las Ventas"". Finalizada la gira, realizaron un pequeño tour por el continente latinoamericano dónde Estopa acudió a Argentina, México, Chile y Perú.

Voces de ultrarumba (2005)

Empezaron a grabar su cuarto álbum a finales de agosto de 2005, publicaron el 21 de noviembre del año 2005: ""Voces de ultrarumba"". Incluye una entrevista del grupo con el humorista catalán ""Andreu Buenafuente"". En ese momento los hermanos Muñoz eran la élite del canto de rumbas en España. De este trabajo, en un solo día, se consiguió vender más de 200.000 copias, situándose número uno de ventas en España.

Allenrok (2008)

En febrero de 2008 se publicó Allenrok, su quinto álbum de estudio con un título que, según Estopa, “Es un homenaje a nuestra ciudad en el disco más nuestro. Es el primero que producimos, lo hemos hecho todo. Es un paso importante, lo que nos gusta. Y lo que nos gusta viene de Cornellá”. Canciones como ""Cuando amanece"", ""Cuerpo triste"", ""Hemicraneal"" o ""Pesadilla"" impulsaron al álbum a un nuevo nº1 durante cinco semanas consecutivas con más de 140.000 discos vendidos en los primeros siete días.
Terminada la gira Allenrok, el 8 de febrero de 2009, David y José Muñoz apadrinaron una plantación popular de un bosque de 10.000 árboles entre Cornellá de Llobregat y El Prat de Llobregat. Tras poner en marcha el ya conocido como “El bosque de Estopa”4 David y José Muñoz comenzaron la preparación de Estopa X Anniversarivm.

 Estopa X Anniversarivm (2009)

Publicado el 17 de noviembre de 2009 es la celebración del décimo aniversario del lanzamiento de su primer álbum, allá en 1999.
Estopa X Anniversarivm es el sexto álbum de Estopa y la celebración del décimo aniversario del grupo. Una década recorrida con las canciones de David y José Muñoz que han marcado la historia de la música española con un estilo nuevo y una aceptación popular sin precedentes. Es la historia de Estopa, de dos hermanos que han sabido vivir el paso de los años manteniendo el espíritu y la actitud por encima del éxito, de un grupo que ha sabido crear una música mestiza que mezcla la energía y el sentimiento callejero del rock con aires sureños y guitarras rumbeadas. Estopa ha creado un estilo y marca una época en la música española por su capacidad de crear una obra única de gran alcance popular, algo que muy pocos consiguen y aún menos son capaces de mantener.
En el disco se versionan temas de los discos anteriores con la participación de músicos de distintos estilos (Rosario Flores, Joaquín Sabina, Muchachito Bombo Infierno, Ana Belén, Macaco, Albert Pla....)

Estopa 2.0 (2011)

En 2011 Estopa pone a la venta un nuevo álbum de estudio esta vez titulado Estopa 2.0, llamado así “Por la actualización que vamos a hacer. Hay algo sintético y tecnológico. Vamos a acudir a tecnología aplicada a la música. Va a haber ruidos rarísimos.”,5 que además incluye la canción ""Con la cabeza colgada"" de su primera maqueta pero con el nombre ""La Locura"".6 El día 7 de octubre de 2011 se estrenó oficialmente su single llamado ""La primavera"", pudiéndose escuchar en su nueva web y, a partir del 9 de octubre, en todas las radiofórmulas de España.7
El álbum se lanzó el día 21 de noviembre en formato digital a través de iTunes con la canción ""Me quedaré"" en acústico como extra, en Spotify con el tema ""Vacilón"" en acústico, y en una edición especial y limitada a través de su web con la bonus track ""Naturaleza"".
Un día antes de la salida del disco comunican las fechas de su nueva gira 2.0,8 serán el día 3 de febrero del próximo año en Zaragoza, seguidas de Madrid (11 de febrero), y en el Palau Sant Jordi de Barcelona el 25 de febrero.9
En su primera semana a la venta consiguió ser el disco número uno en España con más de 40.000 discos vendidos.10
El 17 de enero anuncian en su web el nuevo single del disco ""Me quedaré"" además de las fechas de los conciertos de su gira.11 Tres meses después del lanzamiento del disco, Estopa 2.0 vende más de 80.000 copias convirtiéndose en doble disco de platino.12
El día 17 de mayo con motivo de la próxima Eurocopa 2012 de fútbol Estopa estrena ""Showtime 2.0"" canción de apoyo a la Selección Española.13 Read more on Last.fm. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",309521,8984044,"Melendi, El Canto del Loco, Extremoduro, Pereza, Los Delinqüentes"
